Timestamp,live,raining,home_download,d_units,home_upload,u_units
22/05/2020 13:35:59,coogee,No,16.9,Mbps,0.3,Mbps
22/05/2020 13:36:50,Coogee,No,15.7,Mbps,1,Mbps
22/05/2020 13:43:00,Cobbitty,No,7.5,Mbps,0.5,Mbps
22/05/2020 14:02:27,coogee,No,16.9,Mbps,0.4,Mbps
22/05/2020 14:03:06,"Woonona, 2517",No,46.1,Mbps,18.9,Mbps
22/05/2020 14:04:47,Gymea,Yes,47.3,Mbps,19,Mbps
22/05/2020 14:08:37,Eastlakes,No,42.3,Mbps,13.4,Mbps
22/05/2020 14:08:37,Cobbitty,No,6.3,Mbps,0.6,Mbps
22/05/2020 14:11:52,Maroubra,No,47.5,Mbps,18.1,Mbps
22/05/2020 14:14:07,Haberfield,No,26.6,Mbps,22.8,Mbps
22/05/2020 14:14:21,"Lincoln, Nebraska, USA",Yes,11,Mbps,15.9,Mbps
22/05/2020 14:14:28,"Woonona, 2517",No,47.2,Mbps,18.8,Mbps
22/05/2020 14:18:08,Strathfield ,No,11,Mbps,2,Mbps
22/05/2020 14:20:09,Concord,No,23.9,Mbps,17.9,Mbps
22/05/2020 14:22:33,Concord,No,47.3,Mbps,18.9,Mbps
22/05/2020 14:24:28,"Woonona, 2517",No,46.6,Mbps,18.9,Mbps
22/05/2020 14:24:52,Clovelly,No,47.8,Mbps,11.7,Mbps
22/05/2020 14:38:00,Liverpool,No,26.9,mps,4.7,Mbps
22/05/2020 14:39:26,Strathfield,No,36,Mbps,3,Mbps
22/05/2020 15:24:49,Kingsford,No,1.1,Mbps,10.76,Mbps
22/05/2020 16:10:55,Kingsford,No,1.1,Mbps,10.76,Mbps
25/05/2020 11:38:00,coogee,No,15.6,Mbps,9.1,Mbps
25/05/2020 22:06:45,coogee,Yes,3,Mbps,0.2,Mbps
26/05/2020 10:44:15,Maroubra,No,45.5,Mbps,17,Mbps
26/05/2020 10:55:20,coogee,Yes,3.6,Mbps,0.3,Mbps
26/05/2020 11:57:45,Woonona,No,43.5,Mbps,17.8,Mbps
26/05/2020 18:00:19,Woonona,No,44.5,Mbps,17.8,Mbps
27/05/2020 10:23:00,coogee,No,3.3,Mbps,0.2,Mbps
27/05/2020 11:24:40,coogee,No,1.2,Mbps,0.1,Mbps
27/05/2020 11:57:47,Woonona,No,44.3,Mbps,17.9,Mbps
27/05/2020 12:38:56,coogee,No,0.8,Mbps,0.01,Mbps
27/05/2020 16:05:34,Maroubra,No,46.6,Mbps,17.3,Mbps
27/05/2020 18:02:30,Woonona,No,44,Mbps,17.7,Mbps
28/05/2020 10:52:59,coogee,No,15.6,Mbps,0.68,Mbps
28/05/2020 12:01:47,Fairy Meadow,No,11.7,Mbps,6.6,Mbps
28/05/2020 14:02:43,Concord ,No,41.3,Mbps,16.6,Mbps
28/05/2020 17:42:21,Woonona,No,44,Mbps,17.7,Mbps
28/05/2020 18:03:00,Cobbitty,No,4.2,Mbps,0.2,Mbps
29/05/2020 08:22:39,coogee,No,5,Mbps,0.3,Mbps
29/05/2020 10:35:02,Maroubra,Yes,34.7,Mbps,14.9,Mbps
29/05/2020 11:43:47,coogee,Yes,5.2,Mbps,0.4,Mbps
29/05/2020 11:50:21,Haberfield ,Yes,38.3,Mbps,18.5,Mbps
29/05/2020 12:55:10,coogee,Yes,4.9,Mbps,0.3,Mbps
29/05/2020 14:02:39,Woonona,No,38.8,Mbps,17.8,Mbps